"","fineff.theta_hat","fineff.theta_ci_low","fineff.theta_ci_high","soc_eff.theta_hat","soc_eff.theta_ci_low","soc_eff.theta_ci_high","finsoc_eff.theta_hat","finsoc_eff.theta_ci_low","finsoc_eff.theta_ci_high"
"1904",0.0886753850721368,0.0836762993770994,0.0877916606150695,0.99275,0.992246626276522,0.992649575640464,0.99275,0.992240414537517,0.992632044245866
"1905",0.0936291630858079,0.0909681936334899,0.0930591883100953,0.8551,0.85452041255196,0.855094624394178,0.8551,0.85426514007575,0.855095209351322
"1906",0.105177150991914,0.102942031586755,0.104139976157017,0.93005,0.929681910314477,0.930021686704434,0.93005,0.929667274192787,0.930003876718312
"1907",0.110506464053637,0.108227080527482,0.109379046507435,0.895,0.894675472433823,0.894955903976457,0.895,0.894669183568125,0.894941808788684
"1908",0.104938648097993,0.102332369371733,0.103897140687861,0.9,0.899711241220968,0.89991886365067,0.9,0.899725368241455,0.899907122369412
"1909",0.112338516781033,0.108900904584675,0.111589344274478,0.9628,0.962498124935333,0.962695475009669,0.9628,0.962511403182516,0.962692060157413
"1910",0.102037935628015,0.0928163402013548,0.100384143513601,0.97,0.969711963933041,0.969874672343831,0.97,0.969726419166042,0.969884310885322
"1911",0.0999390525767216,0.0948744675019791,0.0999123819634802,0.93,0.929726245502376,0.929879832591777,0.93,0.929734602371316,0.929891829456072
"1912",0.104873732838295,0.100199687298476,0.104308608653733,0.925,0.924725198274362,0.924884716819985,0.925,0.92472103771149,0.924905026182836
"1913",0.101503989020761,0.0951015141020039,0.100233189055009,0.90185,0.901562722225415,0.901751855223465,0.90185,0.901556384384457,0.901775790033876
"1914",0.102621214579121,0.0977362022422513,0.101889858543291,0.8833,0.883012488973796,0.883207824384215,0.8833,0.883001083479042,0.883217565745319
"1915",0.102621214579121,0.0977362022422513,0.101889858543291,0.88,0.879713473875616,0.879908100163323,0.88,0.879701484302701,0.879919897710469
"1916",0.102621214579121,0.0977362022422513,0.101889858543291,0.865,0.864717463473552,0.864909376148274,0.865,0.864700589213151,0.86492946091677
"1917",0.102621214579121,0.0977362022422513,0.101889858543291,0.865,0.864715804023341,0.864910016721969,0.865,0.864699209323675,0.864928077249399
"1918",0.102621214579121,0.0977362022422513,0.101889858543291,0.865,0.86471308837565,0.864910497941562,0.865,0.864696956452766,0.864925681391426
"1919",0.102621214579121,0.0977362022422513,0.101889858543291,0.865,0.864709707252132,0.864909324919283,0.865,0.864693854004468,0.864922566080545
"1920",0.0988870681807794,0.094435412608309,0.0981744618322915,0.865,0.864711716495802,0.864905229301929,0.865,0.864707447517219,0.864923012919874
"1921",0.0995680682611141,0.0946802492204763,0.0987800230903306,0.865,0.864722410388068,0.864892490858792,0.865,0.864719347989428,0.864908864258762
"1922",0.100283538012643,0.0955856279795115,0.0996095514079839,0.865,0.864721030365161,0.864893828539115,0.865,0.864716249618884,0.864910420839175
"1923",0.0999505636086545,0.0966939745640107,0.0995253495529751,0.865,0.864676711927055,0.864899376484047,0.865,0.864669936544356,0.864928026170963
"1924",0.103454459219406,0.100252587895746,0.102944700095167,0.865,0.864663654471627,0.864909995426667,0.865,0.864649613965788,0.864927462053602
"1925",0.107585892238513,0.104741152754547,0.106670337222559,0.865,0.86455619022343,0.86495731690296,0.865,0.86450648062254,0.864927204585862
"1926",1,0.347648623581187,4.70218250977348,0.787318635085978,0.775504093041329,0.80451751366226,1,0.994226720916428,1.00399509411048
"1927",1,0.347648623581187,4.70218250977348,0.787318635085978,0.775504093041329,0.80451751366226,1,0.994226720916428,1.00399509411048
"1928",1,0.347648623581187,4.70218250977348,0.787318635085978,0.775504093041329,0.80451751366226,1,0.994226720916428,1.00399509411048
"1929",0.102179997435863,0.0977394539874598,0.101678587259481,0.73555,0.735164805514315,0.735480642560959,0.73555,0.73499786661577,0.73551106321138
"1930",0.102179997435863,0.0977394539874598,0.101678587259481,0.73555,0.735164805514315,0.735480642560959,0.73555,0.73499786661577,0.73551106321138
"1931",0.102179997435863,0.0977394539874598,0.101678587259481,0.73555,0.735164805514315,0.735480642560959,0.73555,0.73499786661577,0.73551106321138
"1932",0.12339563073574,0.119525544160674,0.122679712330687,0.5,0.499632119391882,0.499963854252823,0.500908067976003,0.49816843679402,0.501457102380658
"1933",0.0977412624555428,0.0911226229640127,0.0968810874739149,0.5,0.499697784482328,0.499961183955474,0.500007108122318,0.4975462317844,0.499514152360591
"1934",0.115296973368149,0.105562584983614,0.117617366412929,0.500070631209725,0.496900391256478,0.499795458411603,0.501280055503794,0.496646206941257,0.501261665162129
"1935",0.231615563851042,0.220267092903492,0.23029120927658,0.62125,0.620555837711653,0.621198975414152,0.626542532876527,0.596514348370181,0.641271185026421
"1936",0.0926582405753276,0.0880902149359234,0.0920489014790847,0.71875,0.718347065940994,0.718684697686643,0.71875,0.718241940478989,0.718688636411548
